"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"8975",1,2017-09-07,"NE","KC","NE (67%)","KC (+9)","Under (48.5)"
"8976",1,2017-09-10,"DET","ARI","DET (61%)","DET (+2)","Under (48)"
"8977",1,2017-09-10,"CHI","ATL","ATL (92%)","ATL (-7)","Under (49.5)"
"8978",1,2017-09-10,"CIN","BAL","CIN (60%)","CIN (-3)","Under (42.5)"
"8979",1,2017-09-10,"SF","CAR","CAR (78%)","SF (+5.5)","Under (48)"
"8980",1,2017-09-10,"LAR","IND","IND (78%)","IND (-1.5)","Over (41.5)"
"8981",1,2017-09-10,"HOU","JAX","HOU (87%)","HOU (-5.5)","Over (39.5)"
"8982",1,2017-09-10,"DAL","NYG","DAL (63%)","DAL (-3.5)","Under (47.5)"
"8983",1,2017-09-10,"BUF","NYJ","BUF (58%)","NYJ (+9.5)","Over (40)"
"8984",1,2017-09-10,"TEN","OAK","OAK (63%)","OAK (+2)","Under (50.5)"
"8985",1,2017-09-10,"WAS","PHI","WAS (54%)","WAS (+1)","Under (47.5)"
"8986",1,2017-09-10,"CLE","PIT","PIT (96%)","PIT (-9)","Under (47)"
"8987",1,2017-09-10,"GB","SEA","GB (69%)","GB (-3)","Under (50.5)"
"8988",1,2017-09-11,"DEN","LAC","DEN (88%)","DEN (-3.5)","Over (43.5)"
"8989",1,2017-09-11,"MIN","NO","NO (51%)","NO (+3.5)","Under (48)"
"8990",2,2017-09-14,"CIN","HOU","CIN (58%)","HOU (+6.5)","Over (38)"
"8991",2,2017-09-17,"IND","ARI","ARI (51%)","IND (+7.5)","Over (44.5)"
"8992",2,2017-09-17,"CAR","BUF","CAR (66%)","BUF (+7)","Over (42.5)"
"8993",2,2017-09-17,"TB","CHI","TB (94%)","TB (-7)","Under (43)"
"8994",2,2017-09-17,"BAL","CLE","BAL (92%)","BAL (-7.5)","Over (40)"
"8995",2,2017-09-17,"DEN","DAL","DAL (60%)","DEN (+2)","Over (42)"
"8996",2,2017-09-17,"ATL","GB","ATL (53%)","ATL (-2.5)","Over (41)"
"8997",2,2017-09-17,"LAC","MIA","MIA (84%)","MIA (+4.5)","Over (45)"
"8998",2,2017-09-17,"PIT","MIN","PIT (82%)","PIT (-6)","Under (45.5)"
"8999",2,2017-09-17,"NO","NE","NE (80%)","NO (+7)","Under (55)"
"9000",2,2017-09-17,"OAK","NYJ","OAK (92%)","NYJ (+14)","Over (43.5)"
"9001",2,2017-09-17,"KC","PHI","KC (86%)","KC (-4.5)","Under (47.5)"
"9002",2,2017-09-17,"SEA","SF","SEA (92%)","SF (+13.5)","Under (42.5)"
"9003",2,2017-09-17,"JAX","TEN","TEN (65%)","JAX (+1.5)","Under (43.5)"
"9004",2,2017-09-17,"LAR","WAS","WAS (60%)","WAS (+2.5)","Under (46)"
"9005",2,2017-09-18,"NYG","DET","NYG (57%)","DET (+3.5)","Under (43.5)"
"9006",3,2017-09-21,"SF","LAR","LAR (55%)","SF (+2)","Over (40.5)"
"9007",3,2017-09-24,"DET","ATL","ATL (54%)","DET (+3)","Under (51)"
"9008",3,2017-09-24,"JAX","BAL","BAL (72%)","JAX (+4)","Over (38)"
"9009",3,2017-09-24,"GB","CIN","GB (89%)","GB (-9)","Under (47.5)"
"9010",3,2017-09-24,"IND","CLE","IND (84%)","IND (+1)","Under (42)"
"9011",3,2017-09-24,"BUF","DEN","DEN (75%)","DEN (-3)","Over (40)"
"9012",3,2017-09-24,"NE","HOU","NE (90%)","HOU (+13)","Under (44.5)"
"9013",3,2017-09-24,"LAC","KC","KC (96%)","KC (-3)","Under (47.5)"
"9014",3,2017-09-24,"NYJ","MIA","MIA (79%)","NYJ (+5.5)","Over (43)"
"9015",3,2017-09-24,"CAR","NO","CAR (72%)","CAR (-5)","Under (46.5)"
"9016",3,2017-09-24,"PHI","NYG","PHI (57%)","NYG (+6)","Under (43)"
"9017",3,2017-09-24,"WAS","OAK","OAK (73%)","WAS (+3)","Under (53.5)"
"9018",3,2017-09-24,"CHI","PIT","PIT (96%)","PIT (-7)","Under (43.5)"
"9019",3,2017-09-24,"TEN","SEA","TEN (51%)","SEA (+3)","Over (42)"
"9020",3,2017-09-24,"MIN","TB","TB (58%)","MIN (+1.5)","Over (41)"
"9021",3,2017-09-25,"ARI","DAL","DAL (61%)","ARI (+3)","Over (46.5)"
"9022",4,2017-09-28,"GB","CHI","GB (96%)","GB (-7.5)","Over (44.5)"
"9023",4,2017-10-01,"ATL","BUF","ATL (91%)","ATL (+8)","Over (48.5)"
"9024",4,2017-10-01,"NE","CAR","NE (83%)","CAR (+9)","Under (49)"
"9025",4,2017-10-01,"CLE","CIN","CIN (71%)","CLE (+3)","Under (41.5)"
"9026",4,2017-10-01,"MIN","DET","DET (64%)","DET (+2)","Under (42.5)"
"9027",4,2017-10-01,"SEA","IND","SEA (80%)","IND (+13)","Under (41.5)"
"9028",4,2017-10-01,"NYJ","JAX","NYJ (65%)","NYJ (+3)","Over (38)"
"9029",4,2017-10-01,"DAL","LAR","DAL (94%)","DAL (-6)","Under (48.5)"
"9030",4,2017-10-01,"MIA","NO","MIA (80%)","MIA (+3)","Under (50.5)"
"9031",4,2017-10-01,"TB","NYG","TB (65%)","TB (-3)","Under (44.5)"
"9032",4,2017-10-01,"DEN","OAK","DEN (52%)","OAK (+3)","Under (46)"
"9033",4,2017-10-01,"LAC","PHI","PHI (78%)","PHI (+1)","Under (47.5)"
"9034",4,2017-10-01,"BAL","PIT","PIT (74%)","BAL (+3)","Under (42)"
"9035",4,2017-10-01,"ARI","SF","ARI (92%)","ARI (+6.5)","Under (44.5)"
"9036",4,2017-10-01,"HOU","TEN","HOU (51%)","HOU (+2)","Under (43.5)"
"9037",4,2017-10-02,"KC","WAS","KC (92%)","KC (-7)","Under (49.5)"
"9038",5,2017-10-05,"TB","NE","NE (65%)","NE (0)","Over (41)"
"9039",5,2017-10-08,"PHI","ARI","PHI (60%)","PHI (0)","Over (41)"
"9040",5,2017-10-08,"OAK","BAL","OAK (81%)","OAK (0)","Over (41)"
"9041",5,2017-10-08,"CIN","BUF","CIN (50%)","CIN (0)","Over (41)"
"9042",5,2017-10-08,"DET","CAR","DET (70%)","DET (0)","Over (41)"
"9043",5,2017-10-08,"DAL","GB","DAL (58%)","DAL (0)","Over (41)"
"9044",5,2017-10-08,"PIT","JAX","PIT (96%)","PIT (0)","Under (41)"
"9045",5,2017-10-08,"HOU","KC","KC (86%)","KC (0)","Over (41)"
"9046",5,2017-10-08,"NYG","LAC","NYG (88%)","NYG (0)","Under (41)"
"9047",5,2017-10-08,"CLE","NYJ","NYJ (69%)","NYJ (0)","Under (41)"
"9048",5,2017-10-08,"LAR","SEA","SEA (79%)","SEA (0)","Over (41)"
"9049",5,2017-10-08,"IND","SF","IND (81%)","IND (0)","Under (41)"
"9050",5,2017-10-08,"MIA","TEN","MIA (73%)","MIA (0)","Over (41)"
"9051",5,2017-10-09,"CHI","MIN","MIN (79%)","MIN (0)","Under (41)"
"9052",6,2017-10-12,"CAR","PHI","CAR (60%)","CAR (0)","Under (41)"
"9053",6,2017-10-15,"BAL","CHI","BAL (90%)","BAL (0)","Under (41)"
"9054",6,2017-10-15,"HOU","CLE","HOU (90%)","HOU (0)","Under (41)"
"9055",6,2017-10-15,"NO","DET","DET (70%)","DET (0)","Over (41)"
"9056",6,2017-10-15,"MIN","GB","GB (65%)","GB (0)","Over (41)"
"9057",6,2017-10-15,"OAK","LAC","OAK (96%)","OAK (0)","Over (41)"
"9058",6,2017-10-15,"JAX","LAR","JAX (59%)","JAX (0)","Under (41)"
"9059",6,2017-10-15,"ATL","MIA","ATL (72%)","ATL (0)","Over (41)"
"9060",6,2017-10-15,"NYJ","NE","NE (91%)","NE (0)","Over (41)"
"9061",6,2017-10-15,"DEN","NYG","DEN (73%)","DEN (0)","Under (41)"
"9062",6,2017-10-15,"KC","PIT","KC (69%)","KC (0)","Over (41)"
"9063",6,2017-10-15,"WAS","SF","WAS (88%)","WAS (0)","Over (41)"
"9064",6,2017-10-15,"ARI","TB","TB (53%)","ARI (0)","Over (41)"
"9065",6,2017-10-16,"TEN","IND","TEN (74%)","TEN (0)","Over (41)"
"9066",7,2017-10-19,"OAK","KC","KC (59%)","OAK (0)","Over (41)"
"9067",7,2017-10-22,"LAR","ARI","ARI (75%)","ARI (0)","Over (41)"
"9068",7,2017-10-22,"NE","ATL","NE (63%)","NE (0)","Over (41)"
"9069",7,2017-10-22,"MIN","BAL","MIN (55%)","MIN (0)","Under (41)"
"9070",7,2017-10-22,"CHI","CAR","CAR (85%)","CAR (0)","Over (41)"
"9071",7,2017-10-22,"PIT","CIN","PIT (94%)","PIT (0)","Under (41)"
"9072",7,2017-10-22,"SF","DAL","DAL (93%)","DAL (0)","Over (41)"
"9073",7,2017-10-22,"LAC","DEN","DEN (88%)","DEN (0)","Over (41)"
"9074",7,2017-10-22,"IND","JAX","IND (70%)","IND (0)","Under (41)"
"9075",7,2017-10-22,"GB","NO","GB (83%)","GB (0)","Over (41)"
"9076",7,2017-10-22,"MIA","NYJ","MIA (88%)","MIA (0)","Over (41)"
"9077",7,2017-10-22,"NYG","SEA","NYG (56%)","NYG (0)","Under (41)"
"9078",7,2017-10-22,"BUF","TB","TB (68%)","TB (0)","Over (41)"
"9079",7,2017-10-22,"CLE","TEN","TEN (86%)","TEN (0)","Over (41)"
"9080",7,2017-10-23,"PHI","WAS","PHI (67%)","PHI (0)","Over (41)"
"9081",8,2017-10-26,"BAL","MIA","MIA (59%)","BAL (0)","Over (41)"
"9082",8,2017-10-29,"NYJ","ATL","ATL (88%)","ATL (0)","Over (41)"
"9083",8,2017-10-29,"TB","CAR","TB (64%)","TB (0)","Over (41)"
"9084",8,2017-10-29,"NO","CHI","NO (85%)","NO (0)","Over (41)"
"9085",8,2017-10-29,"WAS","DAL","DAL (68%)","DAL (0)","Over (41)"
"9086",8,2017-10-29,"SEA","HOU","SEA (71%)","SEA (0)","Under (41)"
"9087",8,2017-10-29,"CIN","IND","CIN (55%)","CIN (0)","Under (41)"
"9088",8,2017-10-29,"NE","LAC","NE (98%)","NE (0)","Over (41)"
"9089",8,2017-10-29,"CLE","MIN","MIN (84%)","MIN (0)","Under (41)"
"9090",8,2017-10-29,"BUF","OAK","OAK (80%)","OAK (0)","Over (41)"
"9091",8,2017-10-29,"DET","PIT","PIT (55%)","DET (0)","Over (41)"
"9092",8,2017-10-29,"PHI","SF","PHI (92%)","PHI (0)","Under (41)"
"9093",8,2017-10-30,"KC","DEN","KC (78%)","KC (0)","Over (41)"
"9094",9,2017-11-02,"NYJ","BUF","BUF (52%)","NYJ (0)","Over (41)"
"9095",9,2017-11-05,"SF","ARI","ARI (84%)","ARI (0)","Over (41)"
"9096",9,2017-11-05,"CAR","ATL","ATL (67%)","ATL (0)","Over (41)"
"9097",9,2017-11-05,"TEN","BAL","TEN (58%)","TEN (0)","Over (41)"
"9098",9,2017-11-05,"JAX","CIN","CIN (52%)","JAX (0)","Under (41)"
"9099",9,2017-11-05,"PHI","DEN","DEN (59%)","PHI (0)","Over (41)"
"9100",9,2017-11-05,"HOU","IND","HOU (68%)","HOU (0)","Under (41)"
"9101",9,2017-11-05,"DAL","KC","KC (65%)","KC (0)","Over (41)"
"9102",9,2017-11-05,"NYG","LAR","NYG (87%)","NYG (0)","Under (41)"
"9103",9,2017-11-05,"MIA","OAK","OAK (53%)","MIA (0)","Over (41)"
"9104",9,2017-11-05,"NO","TB","TB (64%)","TB (0)","Over (41)"
"9105",9,2017-11-05,"SEA","WAS","SEA (69%)","SEA (0)","Over (41)"
"9106",9,2017-11-06,"GB","DET","GB (59%)","GB (0)","Over (41)"
"9107",10,2017-11-09,"ARI","SEA","ARI (53%)","ARI (0)","Over (41)"
"9108",10,2017-11-12,"TEN","CIN","TEN (77%)","TEN (0)","Over (41)"
"9109",10,2017-11-12,"DET","CLE","DET (98%)","DET (0)","Under (41)"
