"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"1","19790901DETTB","TB","DET","Win","Loss",1000,1000,0,0,0.5,0.5
"2","19790902MIABUF","MIA","BUF","Loss","Win",1000,1000,0,0,0.5,0.5
"3","19790902GBCHI","CHI","GB","Win","Loss",1000,1000,0,0,0.5,0.5
"4","19790902CINDEN","DEN","CIN","Win","Loss",1000,1000,0,0,0.5,0.5
"5","19790902INDKC","KC","IND","Win","Loss",1000,1000,0,0,0.5,0.5
"6","19790902OAKLAR","OAK","LAR","Loss","Win",1000,1000,0,0,0.5,0.5
"7","19790902SFMIN","MIN","SF","Win","Loss",1000,1000,0,0,0.5,0.5
"8","19790902ATLNO","ATL","NO","Loss","Win",1000,1000,0,0,0.5,0.5
"9","19790902CLENYJ","CLE","NYJ","Loss","Win",1000,1000,0,0,0.5,0.5
"10","19790902NYGPHI","PHI","NYG","Win","Loss",1000,1000,0,0,0.5,0.5
"11","19790902LACSEA","LAC","SEA","Loss","Win",1000,1000,0,0,0.5,0.5
"12","19790902DALARI","DAL","ARI","Loss","Win",1000,1000,0,0,0.5,0.5
"13","19790902TENWAS","TEN","WAS","Loss","Win",1000,1000,0,0,0.5,0.5
"14","19790903PITNE","PIT","NE","Loss","Win",1000,1000,0,0,0.5,0.5
"15","19790906LARDEN","LAR","DEN","Loss","Win",1050,950,100,-100,0.638163195084118,0.361836804915882
"16","19790909TBIND","TB","IND","Loss","Win",950,1050,-100,100,0.361836804915882,0.638163195084118
"17","19790909CINBUF","BUF","CIN","Win","Loss",950,950,0,0,0.5,0.5
"18","19790909MINCHI","CHI","MIN","Win","Loss",1050,1050,0,0,0.5,0.5
"19","19790909WASDET","WAS","DET","Loss","Win",950,950,0,0,0.5,0.5
"20","19790909NOGB","GB","NO","Win","Loss",950,950,0,0,0.5,0.5
"21","19790909CLEKC","CLE","KC","Loss","Win",1050,1050,0,0,0.5,0.5
"22","19790909SEAMIA","MIA","SEA","Win","Loss",1050,950,100,-100,0.638163195084118,0.361836804915882
"23","19790909NYJNE","NE","NYJ","Win","Loss",950,950,0,0,0.5,0.5
"24","19790909ARINYG","ARI","NYG","Loss","Win",950,950,0,0,0.5,0.5
"25","19790909TENPIT","PIT","TEN","Win","Loss",1050,1050,0,0,0.5,0.5
"26","19790909OAKLAC","LAC","OAK","Win","Loss",1050,1050,0,0,0.5,0.5
"27","19790909DALSF","DAL","SF","Loss","Win",950,1050,-100,100,0.361836804915882,0.638163195084118
"28","19790910ATLPHI","ATL","PHI","Loss","Win",1050,1050,0,0,0.5,0.5
"29","19790916DENATL","DEN","ATL","Loss","Win",1100,986,114,-114,0.65654459717571,0.34345540282429
"30","19790916NECIN","NE","CIN","Loss","Win",900,1000,-100,100,0.361836804915882,0.638163195084118
"31","19790916INDCLE","CLE","IND","Win","Loss",1100,914,186,-186,0.744605393555796,0.255394606444204
"32","19790916CHIDAL","DAL","CHI","Win","Loss",1086,1100,-14,14,0.480261424822928,0.519738575177072
"33","19790916TBGB","TB","GB","Loss","Win",1000,1086,-86,86,0.380542645858431,0.619457354141569
"34","19790916KCTEN","TEN","KC","Win","Loss",1000,1000,0,0,0.5,0.5
"35","19790916SFLAR","LAR","SF","Win","Loss",1014,914,100,-100,0.638163195084118,0.361836804915882
"36","19790916MIAMIN","MIA","MIN","Loss","Win",1000,1086,-86,86,0.380542645858431,0.619457354141569
"37","19790916PHINO","PHI","NO","Loss","Win",900,1000,-100,100,0.361836804915882,0.638163195084118
"38","19790916DETNYJ","NYJ","DET","Win","Loss",900,900,0,0,0.5,0.5
"39","19790916BUFLAC","LAC","BUF","Win","Loss",1100,1000,100,-100,0.638163195084118,0.361836804915882
"40","19790916OAKSEA","SEA","OAK","Win","Loss",914,1000,-86,86,0.380542645858431,0.619457354141569
"41","19790916PITARI","PIT","ARI","Loss","Win",1000,1100,-100,100,0.361836804915882,0.638163195084118
"42","19790917NYGWAS","WAS","NYG","Win","Loss",1000,900,100,-100,0.638163195084118,0.361836804915882
"43","19790923NYJBUF","BUF","NYJ","Win","Loss",964,950,14,-14,0.519738575177072,0.480261424822928
